car_id,brand,model,year,color,engine_type,transmission,price,stock_qty,status,stock_level
C0056,Nissan,Sunny,2021,Gray,Diesel,Manual,65876.67,8,Available,In Stock
C0057,Nissan,Altima,2018,Black,Diesel,Manual,61473.24,18,Available,In Stock
C0058,Tesla,Model S,2023,Black,Electric,Automatic,94755.18,12,Available,In Stock
C0059,Kia,Sportage,2020,Gray,Petrol,Manual,91552.46,4,Sold,Low in stock
C0060,Toyota,Corolla,2023,Silver,Diesel,Manual,99129.16,1,Reserved,Low in stock
C0061,Nissan,Sunny,2019,Black,Petrol,Manual,70324.99,19,Available,In Stock
C0062,Tesla,Model X,2017,Black,Electric,Manual,39427.05,13,Available,In Stock
C0063,Kia,Seltos,2019,Red,Diesel,Manual,83221.84,16,Sold,In Stock
C0064,Hyundai,Tucson,2019,Silver,Diesel,Automatic,37129.03,7,Reserved,In Stock
C0065,Nissan,Altima,2019,Gray,Electric,Manual,46080.53,2,Available,Low in stock
C0066,Mercedes,E-Class,2017,White,Hybrid,Manual,94252.12,11,Reserved,In Stock
C0067,Hyundai,Elantra,2016,Silver,Diesel,Manual,16670.51,18,Reserved,In Stock
C0068,Hyundai,Tucson,2018,Black,Diesel,Automatic,47910.8,5,Sold,Low in stock
C0069,Hyundai,Sonata,2023,Blue,Hybrid,Automatic,31312.75,19,Available,In Stock
C0070,Hyundai,Sonata,2016,Black,Hybrid,Automatic,37639.31,19,Reserved,In Stock
C0071,Kia,Seltos,2017,Black,Electric,Automatic,53635.55,4,Available,Low in stock
C0072,Mercedes,GLA,2016,Red,Electric,Manual,90776.35,5,Available,Low in stock
C0073,Kia,Sportage,2015,Red,Diesel,Manual,81463.08,15,Reserved,In Stock
C0074,Hyundai,Tucson,2017,Gray,Electric,Automatic,92661.53,5,Available,Low in stock
C0075,Kia,Seltos,2020,Black,Petrol,Automatic,87777.21,9,Reserved,In Stock
C0076,Nissan,Qashqai,2020,Silver,Hybrid,Manual,97778.44,15,Available,In Stock
C0077,Toyota,RAV4,2018,Black,Electric,Automatic,37286.07,7,Sold,In Stock
C0078,BMW,3 Series,2020,Blue,Hybrid,Manual,87241.9,2,Available,Low in stock
C0079,Toyota,Corolla,2019,Blue,Diesel,Automatic,86983.02,1,Available,Low in stock
C0080,BMW,X5,2020,White,Petrol,Automatic,97807.1,13,Sold,In Stock
C0081,Tesla,Model 3,2016,Black,Petrol,Manual,37385.34,12,Reserved,In Stock
C0082,Tesla,Model S,2015,Gray,Diesel,Automatic,71327.53,16,Sold,In Stock
C0083,Hyundai,Elantra,2020,Black,Electric,Manual,94839.15,16,Available,In Stock
C0084,BMW,3 Series,2024,White,Petrol,Manual,45427.97,18,Available,In Stock
C0085,Mercedes,E-Class,2020,White,Diesel,Manual,92630.78,18,Reserved,In Stock
C0086,BMW,5 Series,2019,Silver,Hybrid,Automatic,73510.91,14,Available,In Stock
C0087,Mercedes,GLA,2025,Gray,Hybrid,Manual,68728.35,10,Available,In Stock
C0088,Kia,Cerato,2024,White,Hybrid,Automatic,92417.23,0,Sold,Out of Stock
C0089,Nissan,Qashqai,2018,Red,Electric,Manual,33212.38,14,Reserved,In Stock
C0090,BMW,5 Series,2019,Silver,Electric,Automatic,17920.21,10,Reserved,In Stock
C0091,Hyundai,Tucson,2018,Black,Electric,Manual,92699.73,8,Reserved,In Stock
C0092,Mercedes,GLA,2023,White,Petrol,Automatic,78374.9,10,Available,In Stock
C0093,Hyundai,Tucson,2019,Blue,Electric,Manual,86288.69,14,Sold,In Stock
C0094,Tesla,Model 3,2023,Silver,Hybrid,Automatic,35633.32,12,Sold,In Stock
C0095,Toyota,Camry,2023,White,Hybrid,Manual,74054.31,3,Reserved,Low in stock
C0096,Nissan,Qashqai,2019,White,Petrol,Automatic,61660.65,1,Reserved,Low in stock
C0097,Hyundai,Sonata,2025,White,Diesel,Automatic,56746.29,4,Sold,Low in stock
C0098,Tesla,Model X,2017,Blue,Electric,Automatic,99875.13,17,Reserved,In Stock
C0099,Hyundai,Tucson,2018,Gray,Diesel,Automatic,38984.11,0,Reserved,Out of Stock
C0100,Nissan,Sunny,2018,Blue,Petrol,Manual,74108.18,10,Reserved,In Stock
C0101,Mercedes,GLA,2015,Silver,Hybrid,Manual,75529.64,11,Sold,In Stock
C0102,Toyota,Camry,2018,Red,Hybrid,Automatic,95035.77,10,Sold,In Stock
C0103,Nissan,Altima,2019,Red,Hybrid,Manual,33878.13,5,Available,Low in stock
C0104,Mercedes,C-Class,2020,White,Petrol,Automatic,88830.31,3,Reserved,Low in stock
C0105,Kia,Sportage,2022,White,Diesel,Manual,54845.1,12,Sold,In Stock
C0106,BMW,5 Series,2023,White,Petrol,Automatic,57448.98,18,Reserved,In Stock
C0107,Hyundai,Tucson,2021,Gray,Electric,Automatic,46740.58,14,Sold,In Stock
C0108,BMW,3 Series,2019,Gray,Electric,Automatic,68415,14,Sold,In Stock
C0109,Toyota,RAV4,2022,White,Electric,Manual,97204.59,0,Reserved,Out of Stock
C0110,Nissan,Sunny,2018,Gray,Petrol,Manual,40546.31,2,Available,Low in stock
C0111,Kia,Sportage,2016,Black,Petrol,Automatic,96742.24,17,Sold,In Stock
C0112,Nissan,Altima,2021,Red,Hybrid,Manual,46778.03,10,Sold,In Stock
C0113,Toyota,RAV4,2024,White,Diesel,Automatic,35194.67,6,Available,In Stock
C0114,Hyundai,Tucson,2024,Blue,Hybrid,Manual,63367.44,16,Available,In Stock
C0115,Tesla,Model X,2015,Red,Electric,Manual,98105.6,17,Sold,In Stock
C0116,Tesla,Model X,2020,Black,Petrol,Automatic,43309.15,0,Reserved,Out of Stock
C0117,Toyota,Corolla,2016,Gray,Petrol,Manual,25746.43,14,Reserved,In Stock
C0118,BMW,X5,2023,Red,Petrol,Automatic,77133.35,13,Sold,In Stock
C0119,Mercedes,GLA,2018,Black,Hybrid,Manual,23200.24,17,Available,In Stock
C0120,Nissan,Qashqai,2016,Black,Petrol,Manual,56469.05,2,Reserved,Low in stock
C0121,Nissan,Sunny,2022,Silver,Diesel,Manual,62501.37,20,Reserved,In Stock
C0122,Tesla,Model 3,2018,Blue,Petrol,Manual,85848.09,20,Available,In Stock
C0123,Mercedes,E-Class,2021,White,Petrol,Automatic,23630.56,19,Reserved,In Stock
C0124,Nissan,Sunny,2015,Blue,Diesel,Manual,44875.07,18,Reserved,In Stock
C0125,Tesla,Model S,2017,Silver,Electric,Automatic,35200.68,9,Available,In Stock
C0126,Nissan,Sunny,2024,White,Electric,Automatic,67563.87,2,Sold,Low in stock
C0127,Toyota,Camry,2025,Red,Diesel,Manual,93219.23,3,Reserved,Low in stock
C0128,Kia,Seltos,2019,Gray,Diesel,Manual,84135.49,12,Available,In Stock
C0129,Kia,Sportage,2016,Blue,Hybrid,Automatic,95882.76,15,Reserved,In Stock
C0130,Mercedes,GLA,2021,White,Hybrid,Automatic,48149.33,6,Available,In Stock
C0131,Toyota,RAV4,2025,Blue,Electric,Automatic,61924.42,9,Sold,In Stock
C0132,Hyundai,Sonata,2022,Silver,Electric,Automatic,58245.71,19,Reserved,In Stock
C0133,Kia,Sportage,2020,Black,Diesel,Manual,20192.76,7,Reserved,In Stock
C0134,Toyota,Camry,2016,Gray,Diesel,Automatic,51529.96,8,Sold,In Stock
C0135,Mercedes,C-Class,2015,White,Hybrid,Automatic,55815.59,5,Sold,Low in stock
C0136,BMW,3 Series,2019,Gray,Petrol,Manual,84503.94,20,Sold,In Stock
C0137,BMW,X5,2016,Silver,Petrol,Manual,49659.73,12,Sold,In Stock
C0138,Toyota,Camry,2024,Blue,Hybrid,Automatic,71116.49,7,Sold,In Stock
C0139,Tesla,Model 3,2019,White,Diesel,Automatic,63900.82,13,Available,In Stock
C0140,BMW,X5,2025,Red,Hybrid,Manual,22543.49,11,Sold,In Stock
C0141,Tesla,Model X,2022,Gray,Electric,Manual,49552.44,8,Reserved,In Stock
C0142,Hyundai,Tucson,2016,Blue,Diesel,Automatic,39878.32,5,Available,Low in stock
C0143,BMW,X5,2019,Red,Electric,Manual,97300.14,4,Sold,Low in stock
C0144,BMW,5 Series,2021,Black,Electric,Automatic,71068.19,7,Sold,In Stock
C0145,Mercedes,C-Class,2019,Blue,Petrol,Manual,89690.07,10,Sold,In Stock
C0146,Kia,Seltos,2024,White,Petrol,Manual,32150.03,14,Reserved,In Stock
C0147,Mercedes,GLA,2018,White,Electric,Automatic,40101.92,13,Available,In Stock
C0148,Toyota,RAV4,2015,Gray,Diesel,Manual,60714.01,13,Reserved,In Stock
C0149,Nissan,Sunny,2016,White,Diesel,Manual,89010.17,18,Available,In Stock
C0150,Hyundai,Tucson,2017,Blue,Petrol,Manual,78555.28,10,Available,In Stock
C0151,Hyundai,Sonata,2017,Gray,Petrol,Manual,44911.18,6,Sold,In Stock
C0152,Hyundai,Elantra,2022,Red,Hybrid,Automatic,18449.83,1,Sold,Low in stock
C0153,Kia,Cerato,2016,Black,Hybrid,Automatic,86495.32,15,Reserved,In Stock
C0154,Tesla,Model 3,2018,Silver,Petrol,Manual,41195.2,19,Reserved,In Stock
C0155,Mercedes,C-Class,2022,Blue,Petrol,Automatic,15064.15,16,Available,In Stock
C0156,Hyundai,Sonata,2015,Gray,Hybrid,Manual,22779.54,13,Available,In Stock
C0157,Mercedes,E-Class,2024,Silver,Hybrid,Manual,54478.11,5,Available,Low in stock
C0158,Hyundai,Elantra,2018,White,Hybrid,Manual,15564.23,18,Reserved,In Stock
C0159,Toyota,RAV4,2019,Black,Diesel,Automatic,37017.34,6,Sold,In Stock
C0160,BMW,X5,2018,Red,Petrol,Manual,56409.55,20,Sold,In Stock
C0161,Mercedes,C-Class,2016,Silver,Petrol,Manual,26413.01,8,Reserved,In Stock
C0162,Nissan,Qashqai,2015,Gray,Electric,Manual,53008.54,7,Available,In Stock
C0163,Tesla,Model X,2020,Gray,Diesel,Manual,46277.93,17,Reserved,In Stock
C0164,Tesla,Model S,2023,White,Petrol,Automatic,42464.66,3,Available,Low in stock
C0165,Tesla,Model S,2016,Gray,Petrol,Manual,64280.26,17,Reserved,In Stock
C0166,Tesla,Model X,2022,White,Petrol,Automatic,44421.49,9,Sold,In Stock
C0167,Mercedes,GLA,2021,Silver,Hybrid,Automatic,56347.83,6,Available,In Stock
C0168,Toyota,Camry,2019,Gray,Diesel,Manual,34744.17,20,Reserved,In Stock
C0169,Toyota,Corolla,2023,White,Petrol,Manual,77945.94,1,Sold,Low in stock
C0170,Toyota,Camry,2024,Black,Electric,Manual,25733.99,14,Sold,In Stock
C0171,Tesla,Model X,2024,Red,Petrol,Automatic,23723.97,9,Reserved,In Stock
C0172,Mercedes,C-Class,2015,Gray,Hybrid,Manual,25393.08,8,Sold,In Stock
C0173,Toyota,Camry,2020,Blue,Petrol,Automatic,57344.63,10,Available,In Stock
C0174,Toyota,Corolla,2025,White,Electric,Automatic,18521.5,12,Available,In Stock
C0175,Nissan,Sunny,2024,Gray,Hybrid,Automatic,74816.25,19,Reserved,In Stock
C0176,BMW,3 Series,2022,Black,Hybrid,Manual,95524.52,6,Reserved,In Stock
C0177,BMW,5 Series,2021,Red,Petrol,Automatic,94367.33,8,Reserved,In Stock
C0178,Kia,Cerato,2025,White,Petrol,Automatic,77094.76,6,Sold,In Stock
C0179,Nissan,Sunny,2020,Gray,Petrol,Manual,43838.33,5,Reserved,Low in stock
C0180,Nissan,Sunny,2025,Blue,Electric,Manual,15712.77,19,Reserved,In Stock
C0181,Tesla,Model S,2018,Red,Hybrid,Automatic,19270.26,16,Reserved,In Stock
C0182,Kia,Cerato,2018,Silver,Diesel,Manual,94592.91,16,Available,In Stock
C0183,Mercedes,E-Class,2022,Red,Petrol,Automatic,40162.15,3,Available,Low in stock
C0184,Kia,Seltos,2015,White,Hybrid,Automatic,90025.63,6,Sold,In Stock
C0185,Hyundai,Tucson,2015,Gray,Electric,Automatic,22264.62,2,Available,Low in stock
C0186,BMW,X5,2016,Silver,Diesel,Automatic,95629,4,Available,Low in stock
C0187,Hyundai,Tucson,2021,Black,Electric,Automatic,62336.26,20,Reserved,In Stock
C0188,Toyota,Corolla,2018,Red,Diesel,Automatic,62762.83,8,Sold,In Stock
C0189,BMW,3 Series,2020,Blue,Electric,Manual,66184.26,9,Available,In Stock
C0190,BMW,5 Series,2023,Blue,Petrol,Manual,42304.16,9,Reserved,In Stock
C0191,Nissan,Qashqai,2025,Gray,Petrol,Manual,42582.85,4,Available,Low in stock
C0192,Nissan,Sunny,2015,Gray,Diesel,Manual,92711.05,2,Sold,Low in stock
C0193,Toyota,Camry,2020,Black,Petrol,Manual,91143.29,6,Available,In Stock
C0194,BMW,5 Series,2020,Red,Electric,Manual,47141.16,8,Reserved,In Stock
C0195,Tesla,Model X,2020,Gray,Diesel,Manual,36871.75,2,Available,Low in stock
C0196,Hyundai,Elantra,2021,Red,Petrol,Automatic,44101.03,14,Available,In Stock
C0197,Toyota,Camry,2021,Black,Petrol,Automatic,85571.95,18,Available,In Stock
C0198,Tesla,Model X,2022,White,Hybrid,Automatic,35439.69,12,Available,In Stock
C0199,Hyundai,Elantra,2025,Silver,Diesel,Manual,42536.49,4,Sold,Low in stock
C0200,Toyota,Corolla,2022,Gray,Petrol,Manual,71249.59,20,Available,In Stock
C0201,Toyota,Camry,2023,Red,Hybrid,Automatic,57000.19,17,Available,In Stock
C0202,Mercedes,C-Class,2018,Blue,Diesel,Automatic,35182.93,8,Sold,In Stock
C0203,Kia,Cerato,2025,Silver,Hybrid,Manual,26695.21,0,Reserved,Out of Stock
C0204,Tesla,Model S,2019,Blue,Electric,Manual,19232.38,17,Reserved,In Stock
C0205,Mercedes,GLA,2018,Black,Electric,Manual,91063.54,9,Sold,In Stock
C0206,Kia,Sportage,2019,Black,Petrol,Manual,95801.7,1,Reserved,Low in stock
C0207,Nissan,Sunny,2022,Red,Petrol,Manual,36900.28,8,Available,In Stock
C0208,BMW,3 Series,2024,Blue,Electric,Automatic,43449.6,12,Reserved,In Stock
C0209,Mercedes,GLA,2023,White,Electric,Manual,49027.17,20,Sold,In Stock
C0210,Tesla,Model S,2016,Gray,Electric,Automatic,74916.76,13,Available,In Stock
C0211,Toyota,Camry,2018,Black,Diesel,Automatic,68207.89,18,Sold,In Stock
C0212,Kia,Cerato,2016,Silver,Electric,Automatic,29137.93,1,Available,Low in stock
C0213,Toyota,Corolla,2018,Red,Electric,Automatic,86747.54,8,Available,In Stock
C0214,Toyota,RAV4,2023,Black,Diesel,Automatic,64961.25,6,Sold,In Stock
C0215,Kia,Cerato,2024,Silver,Electric,Manual,56252.8,20,Sold,In Stock
C0216,BMW,5 Series,2025,Blue,Hybrid,Automatic,66993.77,20,Available,In Stock
C0217,Kia,Seltos,2025,Silver,Electric,Manual,54557.44,6,Reserved,In Stock
C0218,Kia,Sportage,2018,Blue,Electric,Automatic,18998.57,10,Available,In Stock
C0219,Mercedes,GLA,2020,Red,Diesel,Automatic,36444.24,2,Available,Low in stock
C0220,Toyota,Camry,2021,White,Petrol,Manual,27036.18,0,Sold,Out of Stock
C0221,Toyota,Camry,2016,White,Diesel,Automatic,32320.79,14,Sold,In Stock
C0222,Tesla,Model S,2020,Red,Diesel,Automatic,35547.41,0,Available,Out of Stock
C0223,Tesla,Model S,2020,White,Petrol,Manual,66030.95,5,Reserved,Low in stock
C0224,BMW,5 Series,2022,Black,Electric,Manual,17316.68,19,Available,In Stock
C0225,Tesla,Model S,2019,Blue,Petrol,Automatic,30317.47,18,Sold,In Stock
C0226,Mercedes,GLA,2016,White,Diesel,Manual,73197.25,6,Available,In Stock
C0227,BMW,3 Series,2015,White,Hybrid,Automatic,33511.99,10,Reserved,In Stock
C0228,Toyota,Corolla,2021,Gray,Petrol,Manual,80597.19,0,Sold,Out of Stock
C0229,Kia,Cerato,2022,Black,Petrol,Manual,49689.9,18,Available,In Stock
C0230,BMW,3 Series,2016,Blue,Hybrid,Automatic,75684.26,17,Reserved,In Stock
C0231,Toyota,Camry,2024,White,Petrol,Manual,41318.81,17,Available,In Stock
C0232,Mercedes,GLA,2018,Gray,Diesel,Automatic,93984.87,17,Reserved,In Stock
C0233,Toyota,Corolla,2016,Blue,Electric,Automatic,34356.67,15,Available,In Stock
C0234,Nissan,Qashqai,2022,Gray,Diesel,Automatic,78320.67,11,Available,In Stock
C0235,Kia,Seltos,2024,Silver,Petrol,Automatic,40425.82,2,Sold,Low in stock
C0236,Mercedes,GLA,2019,Silver,Electric,Manual,99664.31,14,Sold,In Stock
C0237,Mercedes,GLA,2018,Blue,Hybrid,Manual,92692.93,6,Reserved,In Stock
C0238,BMW,5 Series,2022,Gray,Electric,Automatic,23452.33,16,Available,In Stock
C0239,Toyota,Camry,2019,Blue,Electric,Automatic,84197.99,14,Available,In Stock
C0240,BMW,5 Series,2025,Silver,Electric,Manual,56336.78,0,Sold,Out of Stock
C0241,Toyota,RAV4,2018,Red,Hybrid,Automatic,48576.42,10,Available,In Stock
C0242,Tesla,Model X,2018,Red,Petrol,Automatic,68211.04,0,Available,Out of Stock
C0243,Tesla,Model S,2018,Silver,Hybrid,Automatic,63692.99,3,Reserved,Low in stock
C0244,Tesla,Model X,2025,Blue,Hybrid,Manual,67286.72,4,Available,Low in stock
C0245,Mercedes,E-Class,2021,Black,Diesel,Automatic,59861.26,16,Available,In Stock
C0246,Mercedes,C-Class,2015,Black,Hybrid,Manual,70409.5,20,Available,In Stock
C0247,Mercedes,GLA,2022,Blue,Petrol,Automatic,45148.19,2,Available,Low in stock
C0248,Nissan,Qashqai,2016,Gray,Hybrid,Manual,72386.63,14,Reserved,In Stock
C0249,Hyundai,Tucson,2021,White,Petrol,Manual,65306.64,16,Available,In Stock
C0250,Nissan,Qashqai,2020,Gray,Diesel,Automatic,80442.75,12,Available,In Stock
C0251,Hyundai,Sonata,2017,Red,Hybrid,Manual,77125.68,5,Available,Low in stock
C0252,Kia,Seltos,2015,Blue,Electric,Manual,65579.25,4,Available,Low in stock
C0253,Nissan,Sunny,2023,Red,Petrol,Automatic,40904.29,14,Reserved,In Stock
C0254,BMW,X5,2025,Blue,Diesel,Automatic,34442.59,10,Reserved,In Stock
C0255,BMW,5 Series,2025,Black,Petrol,Automatic,16073.13,0,Reserved,Out of Stock
C0256,Nissan,Qashqai,2019,Gray,Diesel,Manual,69403.31,19,Available,In Stock
C0257,BMW,3 Series,2024,Blue,Diesel,Manual,36852.07,3,Sold,Low in stock
C0258,Toyota,Corolla,2023,Black,Electric,Automatic,76450.54,0,Available,Out of Stock
C0259,Kia,Sportage,2024,Black,Diesel,Manual,15432.72,0,Available,Out of Stock
C0260,Tesla,Model S,2024,Black,Hybrid,Automatic,75764.51,2,Sold,Low in stock
C0261,Tesla,Model X,2022,Silver,Hybrid,Automatic,60188.37,19,Reserved,In Stock
C0262,Nissan,Sunny,2017,Red,Diesel,Automatic,15731.73,20,Reserved,In Stock
C0263,Hyundai,Sonata,2022,White,Hybrid,Manual,82694.4,16,Sold,In Stock
C0264,Tesla,Model 3,2019,Silver,Hybrid,Manual,70040.25,6,Reserved,In Stock
C0265,Kia,Seltos,2018,Gray,Petrol,Manual,29781.09,13,Reserved,In Stock
C0266,Tesla,Model X,2020,White,Hybrid,Automatic,24742.94,0,Available,Out of Stock
C0267,BMW,X5,2024,White,Electric,Manual,40159.41,0,Sold,Out of Stock
C0268,BMW,5 Series,2022,White,Electric,Manual,77897.88,1,Available,Low in stock
C0269,Nissan,Qashqai,2015,Gray,Electric,Automatic,52804.45,11,Available,In Stock
C0270,Tesla,Model 3,2024,Black,Electric,Manual,76670.69,3,Reserved,Low in stock
C0271,Nissan,Qashqai,2016,Gray,Diesel,Automatic,60403.39,20,Sold,In Stock
C0272,BMW,X5,2025,Gray,Electric,Manual,36261.58,13,Sold,In Stock
C0273,Mercedes,GLA,2019,Silver,Hybrid,Automatic,97569.91,16,Available,In Stock
C0274,Nissan,Altima,2015,Silver,Electric,Manual,94691.22,17,Sold,In Stock
C0275,BMW,3 Series,2017,Silver,Electric,Manual,44753.36,11,Sold,In Stock
C0276,Nissan,Sunny,2025,Blue,Petrol,Automatic,50703.33,4,Reserved,Low in stock
C0277,Nissan,Qashqai,2016,White,Hybrid,Automatic,34255.92,2,Available,Low in stock
C0278,Nissan,Altima,2016,Silver,Petrol,Manual,84961.77,2,Sold,Low in stock
C0279,Kia,Seltos,2015,Red,Electric,Automatic,85933.12,18,Sold,In Stock
C0280,Tesla,Model 3,2015,Blue,Electric,Automatic,15390.95,18,Reserved,In Stock
C0281,Tesla,Model S,2020,Black,Petrol,Manual,64085.76,0,Sold,Out of Stock
C0282,Mercedes,E-Class,2017,Blue,Hybrid,Automatic,68812.78,14,Reserved,In Stock
C0283,Toyota,Camry,2022,White,Hybrid,Manual,28195.4,17,Sold,In Stock
C0284,Mercedes,C-Class,2022,Blue,Electric,Automatic,51668.13,9,Reserved,In Stock
C0285,Kia,Cerato,2017,White,Diesel,Manual,16765.09,19,Sold,In Stock
C0286,Nissan,Sunny,2025,Silver,Hybrid,Manual,59081.2,7,Sold,In Stock
C0287,Hyundai,Sonata,2024,Gray,Diesel,Automatic,52822.73,0,Sold,Out of Stock
C0288,BMW,3 Series,2018,Black,Diesel,Automatic,79631.09,14,Sold,In Stock
C0289,Tesla,Model 3,2025,White,Diesel,Automatic,29872.8,17,Reserved,In Stock
C0290,Mercedes,GLA,2022,Blue,Diesel,Automatic,99707.28,19,Available,In Stock
C0291,Kia,Sportage,2018,Silver,Diesel,Manual,76715.08,11,Sold,In Stock
C0292,Hyundai,Elantra,2022,Blue,Diesel,Automatic,79140.18,9,Sold,In Stock
C0293,BMW,3 Series,2015,White,Electric,Automatic,69114.77,16,Available,In Stock
C0294,Nissan,Sunny,2020,Silver,Electric,Automatic,50422.08,13,Reserved,In Stock
C0295,Hyundai,Elantra,2025,Blue,Hybrid,Manual,97629.5,9,Sold,In Stock
C0296,Nissan,Qashqai,2019,White,Petrol,Automatic,36488.89,4,Available,Low in stock
C0297,Hyundai,Tucson,2023,Blue,Electric,Manual,83331.9,1,Reserved,Low in stock
C0298,Kia,Seltos,2017,Red,Diesel,Automatic,80850.23,4,Available,Low in stock
C0299,Tesla,Model S,2024,White,Electric,Automatic,53359.33,19,Sold,In Stock
C0300,Mercedes,C-Class,2015,Silver,Electric,Manual,84003.26,10,Sold,In Stock
C0301,BMW,X5,2022,Black,Petrol,Automatic,86538.68,17,Available,In Stock
C0302,Mercedes,C-Class,2022,Black,Electric,Automatic,78237.97,14,Sold,In Stock
C0303,Tesla,Model X,2020,White,Hybrid,Manual,41004.62,8,Reserved,In Stock
C0304,BMW,5 Series,2017,Silver,Petrol,Manual,44558.29,16,Available,In Stock
